id,created_at,favorite_count,retweet_count,has alt_text?,alt_text,text
1596535820764139520,2022-11-26 16:06:16+00:00,1,0,no,,"It’s #SmallBusinessSaturday! As you’re shopping today, support a small business … and please do so throughout the holiday season and beyond. They are key to the vitality and character of our Central Valley communities and region. https://t.co/CivhE4G7iX"
1596237533666365440,2022-11-25 20:20:59+00:00,0,0,no,,Did you know that November is #NationalFamilyLiteracyMonth? During this holiday break enjoy together a good book (or two or more) … and then keep going all year round!📖📚📚 https://t.co/eETkxZo4ie
1595807538322104320,2022-11-24 15:52:20+00:00,3,0,no,,"Happy #Thanksgiving! I wish you a wonderful time with family, loved ones, and friends on this day when we reflect on all that we are grateful for in life. https://t.co/OX7s1M0zIK"
1594461797536309250,2022-11-20 22:44:50+00:00,0,71,no,None,"RT @CAgovernor: Our hearts are with Colorado, and all those affected by this tragedy.

California stands with the LGBTQ community and their…"
1594082165133672448,2022-11-19 21:36:19+00:00,0,6,no,None,"RT @Cal_HHS: CalFresh helps California families buy food when and where they need it. Applying is easy, so check your eligibility today: ht…"
